data,m̻s,queijo,leite,doce_leite,ovos,suinos,hortalicas
ago-2021,agosto,0,123,0,0,600,0
set-2021,setembro,741,408,190,0,240,0
out-2021,outubro,876,387,400,0,750,0
nov-2021,novembro,857,663,42,0,1040,0
dez-2021,dezembro,525,252,69,0,1350,0
jan-2022,janeiro,720,195,105,48,0,0
fev-2022,fevereiro,576,180,15,145,0,0
mar-2022,marco,816,1603,0,710,3960,76
abr-2022,abril,712,360,0,310,0,63
mai-2022,maio,1308,2155,323,563,600,475
jun-2022,junho,1760,2664,311,540,0,112
jul-2022,julho,1150,2274,135,225,180,116
ago-2022,agosto,1302,2231,60,497,180,131
set-2022,setembro,375,895,25,149,4000,67
out-2022,outubro,1345,4079,160,293,6300,0
nov-2022,novembro,1741,3052,10,144,2900,30
dez-2022,dezembro,1280,2348,135,345,4800,302
jan-2023,janeiro,295,3418,75,0,250,0
fev-2023,fevereiro,890,2639,30,0,0,0
mar-2023,marco,680,2351,0,0,500,0
abr-2023,abril,460,2885,0,0,1300,0
mai-2023,maio,0,1817,0,0,4100,168
jun-2023,junho,660,2700,435,300,1200,97
jul-2023,julho,1150,2307,135,225,0,116
ago-2023,agosto,1200,2231,144,525,0,130
set-2023,setembro,800,2628,150,345,2100,64
out-2023,outubro,1420,3908,440,405,4800,148
nov-2023,novembro,1540,3016,150,225,2800,52
dez-2023,dezembro,660,2936,150,165,2000,70
